ID,Title of Artwork,Year,Street Address,Address Data,Latitude,Longitude,Location Name,Related Property,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Description,Indoor/Outdoor Accessible,Medium,Description of Artwork,General Images,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,Year Accuracy,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),4 digit UID,Survey,Activity,Activity Notes,Ownership Accuracy,Modified
,[Birdland Mural],2022,420 E. 33rd Street,,39.328555590526825,-76.60996827552634,,,Gaia,Mural,in place,,,,Birdland Murals,,,,,Baltimore,MD,21218,,Outdoor,mural,,,,,,Male,,,,,,,,,,,,,,,,12/1/2022 11:22pm
,[Ellwood Park leaves mural],2022, 513 N. Potomac Street,,39.29730583418954,-76.57482108959893,,,Andy Dahl,Mural,in place,Private Property,Southeast CDC,,,,,,,,,,,Outdoor,,,,,,,Male,,,,,,,,,,,,,,,,12/2/2022 9:18am
,[Fox Street Park Mural],2022, 306 W. 28th Street,,39.32113833552615,-76.62203356856689,Fox Street Park,Fox Street Park,,Mural,in place,Private Property,,,,,,,,Baltimore,MD,21218,Next to Fox Street Park,Outdoor,mural,,,,,,,,,,,,,,,,,,,,,,12/2/2022 9:14am
,Abell Open Space Mural,2022,301 E. 32nd Street,,39.32677367959011,-76.61275873750031,Abell Open Space,Abell Open Space,Hannah Atallah,Mural,in place,Private Property,,,,,,,,Baltimore,MD,,,Outdoor,mural,,,,, 90’ x 12’,Female,,,,,,,,,,,,,,,,12/2/2022 9:14am
,B'MORE Birds: Black-crowned Night Heron,2022,5431 York Road,,39.35637103106436,-76.60976407625857,,,Iandry Randriamandroso,Mural,in place,Private Property,,,,,,,,Baltimore,MD,21212,,Outdoor,mural,,,,,,Male,,,,,,,,,,,,,,,,12/2/2022 1:16am
,Braiding Seeds,2022,117 W. 24th Street,,39.316109759450356,-76.61911333702167,Our Time Kitchen,,Jaz Erenberg,Mural,in place,Private Property,,,,,,,,Baltimore,MD,21218,Front facade,Outdoor,mural,,,,,,Female,,,,,,,,,,,,,,,,9/22/2022 6:42pm
,Prosper,2022,305 E. Lafayette Street,,39.3098220393883,-76.61179906589186,,,Hannah Atallah,Mural,in place,Private Property,,,,,,,,Baltimore,MD,,,Outdoor,mural,,,,,,Female,,,,,,,,,,,,,,,,11/19/2022 12:04am
,[White-tail deer mural],2022,354 S. Woodyear Street,,39.28351688114712,-76.6386708807583,,,"Nether,Arts + Parks",Mural,in place,,Mount Clare Community Council,,,,,2/23/2022,,Baltimore,MD,,,Outdoor,mural,,,,Date from Nether Instagram post: https://www.instagram.com/p/CaU9dw6JAvD/,,Male,,,,,,,,,,,,,,,,9/23/2022 12:14pm
,,2022,1737 W. Pratt Street,,39.28511272171275,-76.64485361634512,,,"Nether,Arts + Parks",Mural,in place,,Mount Clare Community Council,,,,,3/12/2022,,Baltimore,MD,,,Outdoor,mural,,,,Date from Mount Clare Community Council Instagram post,,Male,,,,,,,,,,,,,,,,9/23/2022 12:14pm
,[Horse and cherry blossom mural],2022, 300 S. Calhoun Street,,39.284415021210016, -76.63954057255685,,,Nether,Mural,in place,,Mount Clare Community Council,,,,,3/24/2022,,Baltimore,MD,,,Outdoor,mural,,,,Date from Nether Instagram post: https://www.instagram.com/p/CbfcT87uPmX/,,Male,,,,Lowe's Home Improvement,,,,,,,,,,,,9/23/2022 12:14pm
,Ascend,2022,8600 McDonogh Road,,39.39501324873979,-76.77830438241268,McDonogh School,McDonogh School,Oletha DeVane,Sculpture,in place,Private Property,,,,,,4/19/2022,,Owings Mill,MD,21117,,Outdoor,,,,"David McDonogh,Nancy",,14' high,Female,,,,,,,,,,,,,,,,12/2/2022 9:14am
,Memorial to Those Enslaved and Freed,2022,8600 McDonogh Road,,39.39501324873979,-76.77830438241268,McDonogh School,McDonogh School,Oletha DeVane,"Memorial,Landscape",in place,Private Property,,,,,,4/19/2022,,Owings Mill,MD,21117,,Outdoor,,,,,,,Female,,,,,,,,,,,,,,,,12/2/2022 9:14am
,Union Square Entrance Mural [Wall 2],2022, 132 S. Gilmor Street,,39.28549305820471,-76.64244244328431,,,"Nether,Arts + Parks",Mural,in place,,,,,,,5/3/2022,,Baltimore,MD,,,Outdoor,mural,,,,Date from Nether Instagram post: https://www.instagram.com/p/CdGf2fOuyEM/,,Male,,,,,,,,,,,,,,,,9/23/2022 12:14pm
,Union Square Entrance Mural [Welcome to Union Square],2022, 121 S. Gilmor Street,,39.285559024921554,-76.64197664911005,,,"Nether,Arts + Parks",Mural,in place,,,,,,,5/3/2022,,Baltimore,MD,,,Outdoor,mural,,,,Date from Nether Instagram post: https://www.instagram.com/p/CcnmmmfOjmb/,,Male,,,,,,,,,,,,,,,,9/23/2022 12:14pm
,,2022,1525 Ramsay Street,,39.28318822279169,-76.64145691661219,,,Nether,Mural,in place,,Mount Clare Community Council,,,,,6/1/2022,,Baltimore,MD,,,Outdoor,mural,,,,Approximate date,,Male,,,,,,,,,,,,,,,,9/23/2022 12:14pm
,[Calhoun and Ramsay Street Mural],2022, 402 S. Calhoun Street,,39.28321532235889,-76.63947532333381,,,Nether,Mural,in place,,Mount Clare Community Council,,,,,6/15/2022,,Baltimore,MD,,,Outdoor,mural,,,,Approximate date,,Male,,,,Lowe's Home Improvement,,,,,,,,,,,,11/30/2022 12:24pm
,[Woman with flower mural - location needed],2022,,Missing,,,,,"Adam Stab,polenhunny",Mural,in place,,Mount Clare Community Council,,,,,6/20/2022,,Baltimore,MD,,,Outdoor,mural,,,,Date from Mount Clare Community Council Instagram post: https://www.instagram.com/p/CfDP6UTs34c/,,Male,,,,,,,,,,,,,,,,12/2/2022 9:29am
,[Woman with leaves and stones mural],2022,1300 McHenry Street,,39.28471784075569,-76.63804238736645,,,"""Ernest Shaw, Jr."",Nether",Mural,in place,,Mount Clare Community Council,,,,,7/1/2022,,Baltimore,MD,,,Outdoor,mural,,,,Approximate date; collaboration between Nether and Ernest Shaw,,"Male, Male",,,,,,,,,,,,,,,,9/23/2022 12:14pm
,,2022,404 S. Stricker Street,,39.28299046670665,-76.64081832631827,,,"Nether,MasPaz",Mural,in place,,Mount Clare Community Council,,,,,7/15/2022,,Baltimore,MD,,,Outdoor,mural,,,,Approximate date,,"Male, Male",,,,Lowe's Home Improvement,,,,,,,,,,,,9/23/2022 12:14pm
,"""Community Fabric of Charles North""",2022,1815 Saint Paul Street,,39.31032710392162,-76.61464752056332,,,Nether,Mural,in place,Private Property,Central Baltimore Partnership,,,"RodSzn,Reggie Lewis",,10/19/2022,,Baltimore,MD,21202,North facing next to parking lot,Outdoor,mural,,,,,,Male,,,,Public Art Across Maryland (Maryland State Arts Council),,,,,,,,,,,,12/2/2022 12:12am
,Centre Street Mural Project,2021,601 N Howard Street,,39.296286041436666,-76.61952096675444,,,Bridget Cimino,Mural,in place,,Maryland Center for History and Culture,,,,,,,Baltimore,MD,,,Outdoor,mural,,,,,,Female,,,,,,,,,,,,,,,,12/2/2022 12:20am
,Dee's Place Welcome Mural,2021,1212 N. Wolfe Street,,,,,,Ali Mirsky,Mural,in place,,,,,,,,,Baltimore,MD,21213,Outdoor - Historic East Baltimore,Outdoor,mural,outdoor painted mural ,,,,,,,,,,,,,,,,,,,,,12/2/2022 9:08am
,Drawing Outside the Lines,2021,3560 3rd Street,,39.23818050864677, -76.60705844996086,,,"Blake Conroy,Nicole Fall,Fall Conroy Projects",Sculpture,in place,Mayor & City Council,,,,,,,,Baltimore,MD,,On window grates around Brooklyn O'Malley Boys & Girls Club,Outdoor,metal,,,,Window mounted metal sculptures based on youth drawings,,,,,,Public Art Across Maryland (Maryland State Arts Council),,,,,,,,,,,,12/2/2022 12:05am
,East Preston Street Pocket Park Community Mural,2021,1756 E. Preston Street,,39.30558062757485,-76.59271382929941,,,Nether,Mural,in place,Mayor & City Council,,,,Arts + Parks,,,,Baltimore,MD,21213,End of row community park,Outdoor,mural,End of row community park,,,,,Male,,,,,,,,,,,,,,,,12/2/2022 9:08am
,Elwood Park,2021,3030 Jefferson Street,,39.296485,-76.574230,Elwood Park,Elwood Park,Andy Dahl,Mural,in place,Mayor & City Council,Baltimore City Department of Recreation & Parks,,,,,,,Baltimore,MD,21205,,Outdoor,mural,,,,,,Male,,,,Southeast CDC General Funds,,,,,,,,,,,,12/21/2021 9:49pm
,It all begins with a dream,2021,4600 Lanier Avenue,,,,Park Heights Academy,Park Heights Academy,Iandry Randriamandroso,Mural,in place,,,,,,,,,Baltimore,MD,21215,,Outdoor,mural,,,,Assisted by Kenneth C. Clemons and others (see Iandy IG account for image),,Male,,,,,,,,,,,,,,,,12/2/2022 9:14am
,North Avenue Rising,2021,1601 North Avenue,,,,,,Megan Lewis,Mural,in place,Mayor & City Council,,,,,,,Black Arts District,Baltimore,MD,21217,Indoor - inside subway station at Penn-North,Indoor,mural,South facing mural inside Penn-North Metro Subway Station,,,,,Female,,,,,,,,,,,,,,,,12/2/2022 9:08am
,Sankofa,2021,333 W. Camden Street,,39.284696553244494,-76.62117165684045,Oriole Park at Camden Yards,Oriole Park at Camden Yards,"""Ernest Shaw, Jr.""",Mural,in place,,,,Birdland Murals,,,,,Baltimore,MD,,,Outdoor,mural,,,,,,Male,,,,,,,,,,,,,,,,12/2/2022 9:14am
,Together Govans,2021,4300 York Road,,,,Walter P. Carter ES,Walter P. Carter ES,Iandry Randriamandroso,Mural,in place,Mayor & City Council,,,,,,,,Baltimore,MD,21212,Outdoor at Walter P Carter,Outdoor,mural,North facing mural at 43rd Street & York Road,,,"Assts: Desiree Thaniel. Kiyan Reid, Antoine Padonou, Jamya Edwards, Sherrill Richardson, Amelia Henry, Nukieah Brooks, Kasshae White",,Male,,,,,,,,,,,,,,,,12/2/2022 9:14am
,Unity,2021,1758 Park Avenue,,39.31049343458703,-76.62816482298553,,,"""Ernest Shaw, Jr.""",Mural,in place,,,,,"Gaia,LaToya D. Peoples,Nether",,,,Baltimore,MD,21217,Outdoor - Bolton Hill - 1758 Park Avenue,Outdoor,mural,Mural,,,,,Male,,,,,,,,,,,,,,,,12/2/2022 9:08am
,Untitled,2021,300 Pontiac Avenue,,39.23693845586548,-76.60703262347086,,,"Annie Howe,Andy Dahl",Mural,in place,,,,,,,,,Baltimore,MD,21225,Outdoor 300 S. Pontiac Street,Outdoor,mural,Outside,,,Exterior wall of Maree Farring Elementary/Middle School,,Male,,,,,,,,,,,,,,,,12/2/2022 9:08am
,Untitled,2021,2135 E. North Avenue,,,,,,"""Ernest Shaw, Jr.""",Mural,in place,,,,,,,,,Baltimore,MD,21213,Duncan St. Miracle Garden,Outdoor,mural,Outdoor mural in Duncan St Miracle Garden in East Baltimore,,,,,Male,,,,,,,,,,,,,,,,12/2/2022 9:08am
,[Fox and forest mural],2021,300 S. Woodyear Street,,39.28444118014761,-76.6387755513151,,,"Nether,Hiro Hubbard,Carter Roach",Mural,in place,,,,,,,2/2/2021,,Baltimore,MD,,,Outdoor,mural,,,,Date from Mount Clare Community Council Instagram post: https://www.instagram.com/p/CKzIxTcp3Xt/,,Male,,,,,,,,,,,,,,,,11/18/2022 10:29pm
,Together Govans,2021, 4229 York Road,,39.34085535043104,-76.60934998948085,,,"Iandry Randriamandroso,Desiree Thaniel",Mural,in place,,,,Art@Work,"Kashae White,Nukieah Brooks,Amelia Henry,Sherrill Richardson,Jamya Edwards,Antoine Padonou,Kiyan Reid",,8/5/2021,,Baltimore,MD,,,Outdoor,mural,,,,,,"Male, Female",,,,"Art@Work Program (BOPA),INSPIRE- Department of Planning Community Art",,,,,,,,,,,,11/18/2022 10:35pm
