id,osm_id,title,location,type,medium,status,year,creation_dedication_date,primary_artist,primary_artist_gender,street_address,city,state,zipcode,dimensions,program,funding,artist_assistants,architect,fabricator,neighborhood,csa,csa_2020,council_district,legislative_district,location_desc,indoor_outdoor_access,subject_person,related_property,property_ownership,agency_or_insitution,wikipedia_url,work_type,lon,lat
NA,NA,Prosper [Greenmount West Mural],NA,Mural,NA,in place,2022,NA,Saba Hamidi,Female,305 E. Lafayette Street,NA,NA,NA,84’ x 63’,NA,NA,NA,NA,NA,Greenmount West,Midtown,Midtown,District 12,District 45,NA,Outdoor,NA,NA,Private Property,NA,NA,Mural,-76.6117922847733,39.309833385246584
NA,NA,"Maryland Avenue Bridge Mural [""Corridors of Color""]",Maryland Avenue Bridge,Mural,NA,in place,2024,NA,Saba Hamidi,Female,NA,Baltimore,MD,NA,NA,NA,NA,NA,NA,NA,Charles North,Midtown,Midtown,District 12,District 45,NA,Outdoor,NA,NA,Mayor & City Council,NA,NA,Mural,-76.61761203505195,39.308044128695194
NA,NA,Kirby Lane Park Mural #2,Kirby Lane Park,Mural,NA,in place,2021,NA,Bridget Cimino,Female,308 N. Fulton Avenue,NA,NA,NA,NA,NA,NA,NA,NA,NA,Franklin Square,Southwest Baltimore,Southwest Baltimore,District 9,District 40,NA,Outdoor,NA,NA,Private Property,NA,NA,Mural,-76.64560460117252,39.29230076099811
NA,NA,Kirby Lane Park Mural #3 [“Tranformation”],Kirby Lane Park,Mural,NA,in place,2023,NA,Bridget Cimino,Female,311 N. Fulton Avenue,Baltimore,MD,NA,NA,NA,NA,NA,NA,NA,Franklin Square,Southwest Baltimore,Southwest Baltimore,District 9,District 40,South facing wall of rowhouse next to Kirby Lane Park,Outdoor,NA,NA,Private Property,NA,NA,Mural,-76.64521971527252,39.29236630186466
NA,NA,"Naturally [""Flowers for Charles""]",NA,Mural,NA,in place,2022,8/25/2022,Andy Dahl,Male,2310 E. Eager Street,Baltimore,MD,21205,NA,NA,NA,NA,NA,NA,Milton-Montford,Madison/East End,Madison/East End,District 13,District 45,East facing wall of building next to Little Eager Park,Outdoor,NA,NA,NA,NA,NA,Mural,-76.58455988166281,39.30202250113351
NA,NA,A Brighter Day,NA,Mural,NA,in place,2024,7/18/2024,Andy Dahl,Male,1241 N. Linwood Avenue,Baltimore,MD,21213,NA,NA,NA,NA,NA,NA,Berea,Clifton-Berea,Clifton-Berea,District 13,District 45,North facing sidewall of rowhouse,Outdoor,NA,NA,Private Property,NA,NA,Mural,-76.57685547433637,39.3059670405788
NA,NA,Unity,NA,Mural,NA,in place,2023,NA,"Nether, Arts + Parks",Male,Pennington Avenue and Hazel Street,Baltimore,MD,NA,NA,NA,NA,NA,NA,NA,Curtis Bay,Brooklyn/Curtis Bay/Hawkins Point,Brooklyn/Curtis Bay/Hawkins Point,District 10,District 46,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.58874123877591,39.22584726365636
1902.001.CHAP.Unknown,NA,Apollo Belvedere,Evergreen House (Johns Hopkins University),Sculpture,bronze,in place,1902,NA,NA,NA,4545 N. Charles Street,Baltimore,MD,21212,90 in. x 4 ft. 6 in. x 3 ft. 4 in.,NA,NA,NA,NA,NA,Loyola/Notre Dame,North Baltimore/Guilford/Homeland,North Baltimore/Guilford/Homeland,District 4,District 43A,Garden,Outdoor,NA,"""Johns Hopkins University, Homewood Campus""",Private Property,NA,NA,Sculpture,-76.62246600000002,39.348465999999995
1902.002.CHAP.Unknown,NA,Athena Parthenog,Evergreen House (Johns Hopkins University),Sculpture,bronze,in place,1902,NA,NA,NA,4545 N. Charles Street,Baltimore,MD,21212,89 in. x 4 ft. x 33 in,NA,NA,NA,NA,NA,Loyola/Notre Dame,North Baltimore/Guilford/Homeland,North Baltimore/Guilford/Homeland,District 4,District 43A,Garden,Outdoor,NA,"""Johns Hopkins University, Homewood Campus""",Private Property,NA,NA,Sculpture,-76.62246600000002,39.348465999999995
NA,NA,Ghost Rivers,Multiple sites in Remington and Charles Village,Sculpture,NA,in place,2023,NA,Bruce Willen,Male,NA,Baltimore,MD,NA,NA,NA,NA,NA,NA,NA,Remington,Medfield/Hampden/Woodberry/Remington,Hampden/Remington,District 14,District 43A,NA,Outdoor,NA,NA,NA,NA,NA,Sculpture,-76.62047212719398,39.322964668133636
1975.008.PfA.JaPau,NA,"Untitled [""Peely Wheely""]",Wolfe Street Academy (Formerly General Wolfe ES),Sculpture,bronze,in place,1975,NA,James R. Paulsen,Male,245 S. Wolfe Street,Baltimore,MD,21231,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Upper Fells Point,Fells Point,Fells Point,District 1,District 46,Now Wolfe Street Academy; Entrance plaza,Outdoor,NA,Wolfe Street Academy,Mayor & City Council,Baltimore City Public Schools,NA,Sculpture,-76.590121,39.28813199999998
NA,NA,Elevate,NA,Mural,NA,in place,2023,NA,Iandry Randriamandroso,Male,4601 York Road,Baltimore,MD,NA,NA,Art@Work Program (BOPA),NA,NA,NA,NA,Wilson Park,Greater Govans,Greater Govans,District 4,District 43A,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.60924080595596,39.34408849901577
NA,NA,The Nest We've Woven,NA,Mural,NA,in place,2024,NA,Nether,Male,1706 N. Charles Street,Baltimore,MD,NA,NA,NA,NA,NA,NA,NA,Charles North,Midtown,Midtown,District 12,District 40,NA,Outdoor,Vander Pearson,NA,Private Property,NA,NA,Mural,-76.61678267020726,39.308992665634555
NA,NA,[Greater Mondawmin Mural],NA,Mural,NA,in place,2024,NA,Tom Chalkley,Male,2431 Reisterstown Road,Baltimore,MD,NA,NA,NA,NA,NA,NA,NA,Parkview/Woodbrook,Penn North/Reservoir Hill,Penn North/Reservoir Hill,District 7,District 40,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.6502182963003,39.31668856787887
NA,NA,[Elijah's Park Mosaic],Elijah's Park,Mosaic,NA,in place,2024,NA,"Ashton Design, UMBC Choice Program",NA,301 Mission Boulevard,Baltimore,MD,NA,NA,NA,NA,NA,NA,NA,Port Covington,South Baltimore,South Baltimore,District 11,District 46,NA,Outdoor,NA,NA,NA,NA,NA,Mosaic,-76.607384463925,39.265484154441744
NA,NA,[Harbor Wetland Mural],National Aquarium,Mural,NA,in place,2024,NA,Nether,Male,501 E Pratt Street,Baltimore,MD,NA,NA,NA,NA,NA,NA,NA,Inner Harbor,NA,NA,District 11,District 46,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.60731345970055,39.28488956680053
2006.011.XXX.SeOno,NA,Ecstacy of Love,NA,Sculpture,stainless steel,in place,2006,NA,Setsuko Ono,Female,NA,Baltimore,MD,NA,412 x 244 x 304 cm. (13.5 x 8 x 10 ft.),NA,NA,NA,NA,NA,Inner Harbor,Inner Harbor/Federal Hill,Inner Harbor/Federal Hill,District 11,District 46,NA,Outdoor,NA,McKeldin Square,Mayor & City Council,NA,NA,Sculpture,-76.6130009,39.2862564
1980.002.PfA.StEdm,NA,Of Course Culture Horse,Govans ES,Sculpture,painted steel,in place,1980,NA,Stan Edmister,Male,5801 York Avenue,Baltimore,MD,21212,8 ft. 8 in. x 25 ft. x 9 ft.,Percent for Public Art (BOPA),NA,NA,NA,NA,Belvedere,Chinquapin Park/Belvedere,Chinquapin Park/Belvedere,District 4,District 43A,Entrance plaza,Outdoor,NA,Govans ES,Mayor & City Council,Baltimore City Public Schools,NA,Sculpture,-76.60855,39.36042699999999
